"","FIPS","stem","total","stemShare"
"1","01",161345,764408,0.211071835982878
"2","02",37900,130265,0.290945380570376
"3","04",284247,1222293,0.23255226038274
"4","05",97072,420959,0.230597279069933
"5","06",2454631,8136671,0.301675095379916
"6","08",418032,1374213,0.304197384248293
"7","09",266204,940115,0.283161102631061
"8","10",53263,195882,0.271913703147813
"9","11",102942,254673,0.404212460684878
"10","12",884034,3830505,0.2307878465111
"11","13",465864,1910601,0.243831129576505
"12","15",91099,302340,0.301313091221803
"13","16",72897,261523,0.278740302000206
"14","17",711826,2833408,0.251226085336104
"15","18",227864,1070603,0.212837064719602
"16","19",137492,570427,0.241033471417026
"17","20",128592,593085,0.216818837097549
"18","21",149761,659702,0.22701310591752
"19","22",157177,701597,0.224027468760556
"20","23",77882,281782,0.27639096890504
"21","24",496484,1553685,0.319552547652838
"22","25",567116,1916730,0.29587683189599
"23","26",403340,1827340,0.220725207131678
"24","27",337092,1258535,0.267844756005991
"25","28",80417,410954,0.195683701825508
"26","29",258320,1120712,0.230496327334766
"27","30",60264,203840,0.295643642072213
"28","31",78218,361770,0.216209193686596
"29","32",105283,443464,0.237410477513395
"30","33",89603,326031,0.274829694108842
"31","34",629094,2291269,0.274561389343634
"32","35",99429,362935,0.273958146775593
"33","36",1279668,4667983,0.274137245144209
"34","37",497465,1912565,0.260103578179042
"35","38",31853,131317,0.242565699795152
"36","39",473058,2092219,0.226103481518904
"37","40",127250,611369,0.208139437884485
"38","41",272464,846247,0.321967463400166
"39","42",654683,2567726,0.254966067251724
"40","44",58674,220895,0.265619411937798
"41","45",205901,856974,0.240265165570951
"42","46",34279,154217,0.222277699605102
"43","47",256655,1118308,0.22950296340543
"44","48",1130630,4749030,0.238075986043466
"45","49",130348,530204,0.245844995511162
"46","50",45890,152902,0.300126878654301
"47","51",645840,2066340,0.312552629286565
"48","53",473457,1584777,0.29875307377631
"49","54",53501,248258,0.215505643322672
"50","55",267407,1108095,0.241321366850315
"51","56",28441,103334,0.275233708169625
"52","72",128376,586713,0.218805446615296
"53","10140",2764,7683,0.35975530391774
"54","10180",4748,22959,0.206803432205235
"55","10300",2862,13671,0.209348255431205
"56","10380",8432,43689,0.193000526448305
"57","10420",30539,143139,0.213352056392737
"58","10460",2124,8653,0.245464000924535
"59","10500",4113,18677,0.220217379664828
"60","10540",6104,16970,0.359693576900412
"61","10580",64996,212464,0.305915355071918
"62","10700",1528,10916,0.139978013924514
"63","10740",49324,185995,0.265189924460335
"64","10780",3859,17260,0.223580533024334
"65","10900",40336,151369,0.266474641439132
"66","11020",4048,17848,0.22680412371134
"67","11100",9247,38048,0.243035113540791
"68","11180",8328,23708,0.351273831618019
"69","11260",20888,74694,0.279647628992958
"70","11460",36542,117523,0.310934880831837
"71","11500",3098,14856,0.208535271943996
"72","11540",8926,42252,0.211256271892455
"73","11640",6454,29456,0.219106463878327
"74","11700",30280,104999,0.28838369889237
"75","11780",2095,8966,0.233660495204104
"76","11980",2516,10570,0.238032166508988
"77","12020",13823,41886,0.330014802081841
"78","12060",327940,1311778,0.249996569541493
"79","12100",10465,46552,0.224802371541502
"80","12180",2851,11597,0.245839441234802
"81","12220",8809,28712,0.306805516857063
"82","12260",26898,98879,0.272029450136025
"83","12300",6318,20620,0.306401551891368
"84","12420",145367,528633,0.274986616423871
"85","12540",21694,80180,0.270566225991519
"86","12580",221595,718034,0.308613519694053
"87","12620",8246,26889,0.306668154263825
"88","12700",22723,73192,0.310457427041207
"89","12940",33716,144643,0.23309804138465
"90","12980",4034,18856,0.213937208315655
"91","13020",3400,14288,0.237961926091825
"92","13140",8753,44603,0.19624240521938
"93","13180",1707,9115,0.187273724629731
"94","13220",3199,15382,0.207970354960343
"95","13380",15224,43819,0.347429197380132
"96","13460",10942,37248,0.293760738831615
"97","13740",7585,31830,0.238297203895696
"98","13780",12087,43248,0.279481132075472
"99","13820",48853,219179,0.222890879144444
"100","13900",6488,27465,0.236227926451848
"101","13980",12326,36624,0.336555264307558
"102","14010",14364,48408,0.296727813584531
"103","14020",12703,39341,0.322894690018047
"104","14100",3338,13732,0.243081852607049
"105","14140",2222,13895,0.15991363799928
"106","14260",32877,126055,0.260814723731704
"107","14460",445763,1479562,0.301280378922952
"108","14500",43120,117733,0.366252452583388
"109","14540",5288,22416,0.235902926481085
"110","14580",10032,28846,0.347777854815226
"111","14660",3268,15466,0.211302211302211
"112","14700",2140,11022,0.194157140264925
"113","14740",14285,55574,0.257044661172491
"114","14860",88146,298673,0.295125438188253
"115","15180",8972,42238,0.212415360575785
"116","15260",4100,18124,0.226219377620834
"117","15380",56186,234002,0.240109058896933
"118","15500",5132,21393,0.239891553311831
"119","15540",18930,59790,0.316608128449574
"120","15680",5530,21019,0.263095294733336
"121","15940",13224,59587,0.22192760165808
"122","15980",28060,132838,0.211234737048134
"123","16020",3318,16511,0.200956937799043
"124","16060",5336,23378,0.228248780905124
"125","16180",2479,8839,0.280461590677678
"126","16220",2822,11489,0.245626251196797
"127","16300",11477,54520,0.210509904622157
"128","16500",1490,7325,0.203412969283276
"129","16540",3178,18591,0.170942929374428
"130","16580",16633,54744,0.303832383457548
"131","16620",7188,34043,0.211144728725435
"132","16660",2594,9450,0.274497354497355
"133","16700",42277,162983,0.259395151641582
"134","16740",122556,519482,0.235919627629061
"135","16820",22024,61352,0.358977702438388
"136","16860",17992,94487,0.190417729423095
"137","16940",4097,19982,0.20503453107797
"138","16980",586100,2304234,0.254357847336685
"139","17020",11154,39085,0.285378022259179
"140","17060",1675,9631,0.173917557885993
"141","17140",100886,449681,0.224350150439979
"142","17200",16247,53306,0.304787453569955
"143","17220",2088,11981,0.174275936900092
"144","17300",7380,36453,0.202452473047486
"145","17340",3359,8197,0.40978406734171
"146","17420",3237,15693,0.2062703116039
"147","17460",97589,420999,0.231803400958197
"148","17660",6164,22152,0.27825929938606
"149","17780",14546,43434,0.334898927107796
"150","17820",48640,158957,0.305994702969986
"151","17860",15211,44913,0.338676997751208
"152","17900",43176,165959,0.260160642086298
"153","17980",10283,48365,0.212612426341363
"154","18020",2824,16453,0.17164043031666
"155","18140",117725,460140,0.255846046855305
"156","18180",10657,35697,0.298540493598902
"157","18260",3164,13895,0.227707808564232
"158","18300",3215,8910,0.360830527497194
"159","18500",4492,15563,0.288633296922187
"160","18580",14336,58000,0.247172413793103
"161","18700",11865,27498,0.431485926249182
"162","18880",10612,52755,0.201156288503459
"163","18980",778,8061,0.0965140801389406
"164","19060",2668,10821,0.246557619443674
"165","19100",333457,1441315,0.231356088016846
"166","19140",1928,12620,0.152773375594295
"167","19180",1914,7478,0.255950788981011
"168","19260",2868,10897,0.263191704138754
"169","19300",9100,42865,0.212294412691007
"170","19340",14932,67317,0.221816183133532
"171","19380",34908,148448,0.235153050226342
