"","comp","cbsa","awlevel","year","share"
"1",0,-2,1,2010,0.824799545425848
"2",1,-2,1,2010,0.0471620683123935
"3",0,10100,1,2010,0
"4",1,10100,1,2010,0.846153846153846
"5",0,10140,1,2010,0.927756653992395
"6",0,10180,1,2010,0.841463414634146
"7",0,10300,1,2010,1
"8",0,10380,1,2010,0.548571428571429
"9",0,10420,1,2010,0.854385964912281
"10",1,10420,1,2010,0.0736842105263158
"11",0,10460,1,2010,1
"12",1,10460,1,2010,0
"13",0,10500,1,2010,0.882523148148148
"14",1,10500,1,2010,0.046875
"15",0,10540,1,2010,0.909836065573771
"16",1,10540,1,2010,0.0491803278688525
"17",0,10580,1,2010,0.913793103448276
"18",1,10580,1,2010,0.0797413793103448
"19",0,10620,1,2010,0.792284866468843
"20",1,10620,1,2010,0.15727002967359
"21",0,10700,1,2010,0.625
"22",1,10700,1,2010,0.375
"23",0,10740,1,2010,0.933870040253019
"24",0,10760,1,2010,1
"25",1,10760,1,2010,0
"26",0,10780,1,2010,0.897877984084881
"27",1,10780,1,2010,0.00663129973474801
"28",0,10820,1,2010,1
"29",0,10900,1,2010,0.925650557620818
"30",1,10900,1,2010,0.0631970260223048
"31",0,10980,1,2010,1
"32",0,11020,1,2010,0.986666666666667
"33",1,11020,1,2010,0.0133333333333333
"34",0,11060,1,2010,1
"35",0,11100,1,2010,0.857142857142857
"36",1,11100,1,2010,0.134615384615385
"37",0,11140,1,2010,0.865024630541872
"38",1,11140,1,2010,0.0512315270935961
"39",0,11180,1,2010,1
"40",0,11260,1,2010,0.833333333333333
"41",1,11260,1,2010,0.0666666666666667
"42",0,11300,1,2010,1
"43",0,11340,1,2010,0.811594202898551
"44",1,11340,1,2010,0.0531400966183575
"45",0,11460,1,2010,0.62247191011236
"46",1,11460,1,2010,0.0692134831460674
"47",0,11540,1,2010,1
"48",0,11620,1,2010,1
"49",0,11660,1,2010,1
"50",0,11700,1,2010,0.763066202090592
"51",1,11700,1,2010,0.078397212543554
"52",0,11740,1,2010,0.952941176470588
"53",0,11780,1,2010,0.852459016393443
"54",1,11780,1,2010,0.0819672131147541
"55",0,11900,1,2010,0.888615888615889
"56",1,11900,1,2010,0.027027027027027
"57",0,11940,1,2010,0.62962962962963
"58",0,11980,1,2010,0.708086785009862
"59",1,11980,1,2010,0.268244575936884
"60",0,12020,1,2010,0.675294117647059
"61",1,12020,1,2010,0.00117647058823529
"62",0,12060,1,2010,0.779827968923418
"63",1,12060,1,2010,0.0498751387347392
"64",0,12100,1,2010,0.850515463917526
"65",0,12260,1,2010,0.595559080095163
"66",1,12260,1,2010,0.111816019032514
"67",0,12380,1,2010,0.771186440677966
"68",1,12380,1,2010,0.144067796610169
"69",0,12420,1,2010,0.897473997028232
"70",1,12420,1,2010,0.0396235760277365
"71",0,12460,1,2010,0.782383419689119
"72",1,12460,1,2010,0.0492227979274611
"73",0,12540,1,2010,0.891838088918381
"74",1,12540,1,2010,0.0577305905773059
"75",0,12580,1,2010,0.769449378330373
"76",1,12580,1,2010,0.0440497335701599
"77",0,12700,1,2010,0.626168224299065
"78",1,12700,1,2010,0.102803738317757
"79",0,12780,1,2010,0
"80",0,12860,1,2010,1
"81",0,12900,1,2010,1
"82",0,12940,1,2010,0.856433184302037
"83",1,12940,1,2010,0.0168902136115251
"84",0,12980,1,2010,0.938271604938272
"85",1,12980,1,2010,0.0617283950617284
"86",0,13020,1,2010,0.829268292682927
"87",0,13140,1,2010,0.935085007727975
"88",1,13140,1,2010,0.0649149922720247
"89",0,13220,1,2010,0.953488372093023
"90",1,13220,1,2010,0.0465116279069767
"91",0,13300,1,2010,0.528735632183908
"92",1,13300,1,2010,0.471264367816092
"93",0,13340,1,2010,1
"94",0,13380,1,2010,0.945107398568019
"95",1,13380,1,2010,0
"96",0,13420,1,2010,1
"97",0,13460,1,2010,0.394495412844037
"98",1,13460,1,2010,0
"99",0,13620,1,2010,0.655737704918033
"100",0,13660,1,2010,0.775700934579439
"101",1,13660,1,2010,0.014018691588785
"102",0,13700,1,2010,1
"103",0,13740,1,2010,1
"104",0,13780,1,2010,1
"105",0,13820,1,2010,0.860082304526749
"106",1,13820,1,2010,0.0397805212620027
"107",0,13900,1,2010,0
"108",1,13900,1,2010,1
"109",1,13980,1,2010,0.0444444444444444
"110",0,14020,1,2010,0.451612903225806
"111",1,14020,1,2010,0.129032258064516
"112",0,14060,1,2010,0.952380952380952
"113",1,14060,1,2010,0.0476190476190476
"114",0,14140,1,2010,0.40625
"115",0,14180,1,2010,1
"116",0,14220,1,2010,0.722270742358079
"117",1,14220,1,2010,0.0122270742358079
"118",0,14260,1,2010,0.998054474708171
"119",1,14260,1,2010,0
"120",0,14420,1,2010,0.981818181818182
"121",1,14420,1,2010,0.0181818181818182
"122",0,14460,1,2010,0.789933081175444
"123",1,14460,1,2010,0.110852487634565
"124",0,14500,1,2010,1
"125",0,14540,1,2010,0.687557603686636
"126",1,14540,1,2010,0.0516129032258065
"127",0,14580,1,2010,1
"128",0,14660,1,2010,0.931818181818182
"129",1,14660,1,2010,0.0454545454545455
"130",0,14740,1,2010,0.917355371900826
"131",1,14740,1,2010,0.0465815176558978
"132",0,14780,1,2010,1
"133",0,14860,1,2010,0.778350515463918
"134",1,14860,1,2010,0.00515463917525773
"135",0,15180,1,2010,0.912055335968379
"136",1,15180,1,2010,0.0612648221343874
"137",0,15220,1,2010,1
"138",0,15260,1,2010,0.958333333333333
"139",1,15260,1,2010,0.0416666666666667
"140",0,15380,1,2010,0.975438596491228
"141",0,15420,1,2010,1
"142",0,15460,1,2010,1
"143",0,15500,1,2010,0.8
"144",1,15500,1,2010,0.125
"145",0,15540,1,2010,0.593023255813954
"146",1,15540,1,2010,0
"147",0,15620,1,2010,0
"148",0,15780,1,2010,0.921375921375921
"149",1,15780,1,2010,0.0221130221130221
"150",0,15900,1,2010,0.453703703703704
"151",1,15900,1,2010,0.37962962962963
"152",0,15940,1,2010,0.871621621621622
"153",0,15980,1,2010,0.911179173047473
"154",1,15980,1,2010,0.00153139356814701
"155",0,16020,1,2010,0.871794871794872
"156",1,16020,1,2010,0.0641025641025641
"157",0,16180,1,2010,1
"158",0,16220,1,2010,1
"159",0,16260,1,2010,1
"160",0,16300,1,2010,0.810344827586207
"161",1,16300,1,2010,0.137931034482759
"162",0,16500,1,2010,0.922222222222222
"163",0,16540,1,2010,1
"164",0,16580,1,2010,0.643835616438356
"165",1,16580,1,2010,0.246575342465753
"166",0,16620,1,2010,0.995991983967936
"167",1,16620,1,2010,0.00400801603206413
"168",0,16660,1,2010,0.642140468227425
"169",0,16700,1,2010,0.90982940698619
"170",1,16700,1,2010,0.0560519902518278
"171",0,16740,1,2010,0.804119547657512
"172",1,16740,1,2010,0.0662358642972536
"173",0,16860,1,2010,0.537190082644628
"174",1,16860,1,2010,0.0165289256198347
"175",0,16940,1,2010,0
"176",1,16940,1,2010,1
"177",0,16980,1,2010,0.916403411783289
"178",1,16980,1,2010,0.0334860211656926
"179",0,17020,1,2010,0.96105527638191
"180",1,17020,1,2010,0.0150753768844221
"181",0,17060,1,2010,1
"182",0,17140,1,2010,0.838015955601804
"183",1,17140,1,2010,0.0881026708289976
"184",0,17200,1,2010,1
"185",0,17220,1,2010,0.896551724137931
"186",1,17220,1,2010,0.103448275862069
"187",0,17300,1,2010,0.858166189111748
"188",1,17300,1,2010,0.0243553008595989
"189",0,17420,1,2010,1
"190",0,17460,1,2010,0.878231859883236
"191",1,17460,1,2010,0.0750625521267723
"192",0,17580,1,2010,1
"193",1,17580,1,2010,0
"194",0,17660,1,2010,0
"195",0,17700,1,2010,0.790492957746479
"196",0,17740,1,2010,1
"197",0,17780,1,2010,1
"198",0,17820,1,2010,0.953890489913545
"199",1,17820,1,2010,0.0265129682997118
"200",0,17860,1,2010,0.5
"201",0,17900,1,2010,0.823346303501945
"202",1,17900,1,2010,0.0365758754863813
"203",0,17940,1,2010,1
"204",0,17980,1,2010,0.94991652754591
"205",1,17980,1,2010,0.0400667779632721
"206",0,18020,1,2010,0.5
"207",1,18020,1,2010,0.166666666666667
"208",0,18140,1,2010,0.708542713567839
"209",1,18140,1,2010,0.0566164154103853
"210",0,18180,1,2010,0.76
"211",1,18180,1,2010,0.0533333333333333
"212",0,18260,1,2010,0.743589743589744
"213",0,18300,1,2010,0.916666666666667
"214",1,18300,1,2010,0.0833333333333333
