"","comp","state","awlevel","year","share"
"1",0,"AK",1,2010,0.916095890410959
"2",1,"AK",1,2010,0.035958904109589
"3",0,"AL",1,2010,0.914630556373271
"4",1,"AL",1,2010,0.0282602296143656
"5",0,"AR",1,2010,0.848930710008554
"6",1,"AR",1,2010,0.0499572284003422
"7",0,"AZ",1,2010,0.889574174922905
"8",1,"AZ",1,2010,0.057607768519126
"9",0,"CA",1,2010,0.859367524638791
"10",1,"CA",1,2010,0.0352717443306861
"11",0,"CO",1,2010,0.89035350509287
"12",1,"CO",1,2010,0.0349760335530258
"13",0,"CT",1,2010,0.726950354609929
"14",1,"CT",1,2010,0.0199871050934881
"15",0,"DC",1,2010,0.324263038548753
"16",1,"DC",1,2010,0.147392290249433
"17",0,"DE",1,2010,0.885096700796359
"18",1,"DE",1,2010,0.012514220705347
"19",0,"FL",1,2010,0.883815374466594
"20",1,"FL",1,2010,0.0362406976025068
"21",0,"GA",1,2010,0.801868669228082
"22",1,"GA",1,2010,0.0545465129817208
"23",0,"GU",1,2010,0
"24",0,"HI",1,2010,0.902040816326531
"25",1,"HI",1,2010,0.0204081632653061
"26",0,"IA",1,2010,0.852572416774751
"27",1,"IA",1,2010,0.0622568093385214
"28",0,"ID",1,2010,0.970976253298153
"29",1,"ID",1,2010,0.0184696569920844
"30",0,"IL",1,2010,0.901331754957088
"31",1,"IL",1,2010,0.0370819769162474
"32",0,"IN",1,2010,0.866571428571429
"33",1,"IN",1,2010,0.028
"34",0,"KS",1,2010,0.881687440076702
"35",1,"KS",1,2010,0.00671140939597315
"36",0,"KY",1,2010,0.858343042865027
"37",1,"KY",1,2010,0.0318881461948856
"38",0,"LA",1,2010,0.862661356111138
"39",1,"LA",1,2010,0.0172753011180959
"40",0,"MA",1,2010,0.762758083365797
"41",1,"MA",1,2010,0.104012465913518
"42",0,"MD",1,2010,0.817551963048499
"43",1,"MD",1,2010,0.0424942263279446
"44",0,"ME",1,2010,0.87027027027027
"45",0,"MI",1,2010,0.881455914653279
"46",1,"MI",1,2010,0.0270473799811735
"47",0,"MN",1,2010,0.888633892982244
"48",1,"MN",1,2010,0.0263316825703587
"49",0,"MO",1,2010,0.917647058823529
"50",1,"MO",1,2010,0.0183957219251337
"51",0,"MP",1,2010,1
"52",1,"MP",1,2010,0
"53",0,"MS",1,2010,0.968944099378882
"54",1,"MS",1,2010,0
"55",0,"MT",1,2010,0.891156462585034
"56",0,"NC",1,2010,0.827726300784034
"57",1,"NC",1,2010,0.0920171062009979
"58",0,"ND",1,2010,0.985611510791367
"59",1,"ND",1,2010,0.0143884892086331
"60",0,"NE",1,2010,0.854069223573433
"61",1,"NE",1,2010,0.0617399438727783
"62",0,"NH",1,2010,0.915611814345992
"63",1,"NH",1,2010,0.0284810126582278
"64",0,"NJ",1,2010,0.893473756906077
"65",1,"NJ",1,2010,0.00776933701657458
"66",0,"NM",1,2010,0.930527176134042
"67",1,"NM",1,2010,0.00980792807519412
"68",0,"NV",1,2010,0.98312934171353
"69",1,"NV",1,2010,0.00860072775388687
"70",0,"NY",1,2010,0.933155080213904
"71",1,"NY",1,2010,0.0165775401069519
"72",0,"OH",1,2010,0.842294940175868
"73",1,"OH",1,2010,0.0497813656239489
"74",0,"OK",1,2010,0.855988857938719
"75",1,"OK",1,2010,0.0757660167130919
"76",0,"OR",1,2010,0.873873873873874
"77",1,"OR",1,2010,0.0318780318780319
"78",0,"PA",1,2010,0.890705394190871
"79",1,"PA",1,2010,0.035103734439834
"80",0,"PR",1,2010,0.907775020678247
"81",1,"PR",1,2010,0.0417700578990902
"82",0,"RI",1,2010,0.890453834115806
"83",0,"SC",1,2010,0.78344039971449
"84",1,"SC",1,2010,0.0676659528907923
"85",0,"SD",1,2010,0.790760869565217
"86",1,"SD",1,2010,0.0326086956521739
"87",0,"TN",1,2010,0.866360089186176
"88",1,"TN",1,2010,0.0280100334448161
"89",0,"TX",1,2010,0.887927534760987
"90",1,"TX",1,2010,0.0587638282756521
"91",0,"UT",1,2010,0.952106885919836
"92",1,"UT",1,2010,0.0195272353545735
"93",0,"VA",1,2010,0.442337866108787
"94",1,"VA",1,2010,0.00536087866108787
"95",0,"VT",1,2010,0.593023255813954
"96",1,"VT",1,2010,0
"97",0,"WA",1,2010,0.754546438623079
"98",1,"WA",1,2010,0.0637042649924226
"99",0,"WI",1,2010,0.958705013841895
"100",1,"WI",1,2010,0.00692094740079975
"101",0,"WV",1,2010,0.941176470588235
"102",1,"WV",1,2010,0.0228270412642669
"103",0,"WY",1,2010,0.771844660194175
"104",1,"WY",1,2010,0.087378640776699
"105",0,"AK",2,2010,0.896987366375121
"106",1,"AK",2,2010,0.0310981535471331
"107",0,"AL",2,2010,0.95361492614667
"108",1,"AL",2,2010,0.0101062451412283
"109",0,"AR",2,2010,0.652865666244802
"110",1,"AR",2,2010,0.058940517085518
"111",0,"AS",2,2010,0.923076923076923
"112",1,"AS",2,2010,0.0769230769230769
"113",0,"AZ",2,2010,0.762082680486923
"114",1,"AZ",2,2010,0.0732192358683862
"115",0,"CA",2,2010,0.762155140418162
"116",1,"CA",2,2010,0.0272382366283146
"117",0,"CO",2,2010,0.912059655438416
"118",1,"CO",2,2010,0.0190280277706351
"119",0,"CT",2,2010,0.847614330526663
"120",1,"CT",2,2010,0.0156843321776457
"121",0,"DC",2,2010,0.919689119170985
"122",1,"DC",2,2010,0.00259067357512953
"123",0,"DE",2,2010,0.95877378435518
"124",1,"DE",2,2010,0.0232558139534884
"125",0,"FL",2,2010,0.88097872863642
"126",1,"FL",2,2010,0.0390077462191073
"127",0,"FM",2,2010,0.531914893617021
"128",1,"FM",2,2010,0
"129",0,"GA",2,2010,0.968041237113402
"130",1,"GA",2,2010,0.00927835051546392
"131",0,"GU",2,2010,0.981481481481482
"132",1,"GU",2,2010,0
"133",0,"HI",2,2010,0.891509433962264
"134",1,"HI",2,2010,0.0267295597484277
"135",0,"IA",2,2010,0.915803452855246
"136",1,"IA",2,2010,0.0156706507304117
"137",0,"ID",2,2010,0.910922587486744
"138",1,"ID",2,2010,0.031813361611877
"139",0,"IL",2,2010,0.922853788245044
"140",1,"IL",2,2010,0.0181642378617308
"141",0,"IN",2,2010,0.903784362727597
"142",1,"IN",2,2010,0.0244555515887183
"143",0,"KS",2,2010,0.870880513773872
"144",1,"KS",2,2010,0.0361669765083657
"145",0,"KY",2,2010,0.936190476190476
"146",1,"KY",2,2010,0.00547619047619048
"147",0,"LA",2,2010,0.811205168188906
"148",1,"LA",2,2010,0.0442192024949877
"149",0,"MA",2,2010,0.964688427299703
"150",1,"MA",2,2010,0.00652818991097923
"151",0,"MD",2,2010,0.85707212411289
"152",1,"MD",2,2010,0.038620234362106
"153",0,"ME",2,2010,0.877946127946128
"154",1,"ME",2,2010,0.0345117845117845
"155",0,"MH",2,2010,1
"156",0,"MI",2,2010,0.828986866791745
"157",1,"MI",2,2010,0.0406191369606004
"158",0,"MN",2,2010,0.925913509889373
"159",1,"MN",2,2010,0.0211196781763326
"160",0,"MO",2,2010,0.933970050701568
"161",1,"MO",2,2010,0.0424478245489919
"162",0,"MP",2,2010,0
"163",1,"MP",2,2010,0
"164",0,"MS",2,2010,0.959358900973097
"165",1,"MS",2,2010,0.00257584430452204
"166",0,"MT",2,2010,0.817582417582418
"167",1,"MT",2,2010,0.021978021978022
"168",0,"NC",2,2010,0.817267026396383
"169",1,"NC",2,2010,0.0364590928977687
"170",0,"ND",2,2010,0.723776223776224
"171",1,"ND",2,2010,0.0944055944055944
"172",0,"NE",2,2010,0.900291120815138
"173",1,"NE",2,2010,0.0240174672489083
"174",0,"NH",2,2010,0.998921251348436
"175",1,"NH",2,2010,0.00107874865156419
"176",0,"NJ",2,2010,0.884608915054668
"177",1,"NJ",2,2010,0.0730025231286796
"178",0,"NM",2,2010,0.784047267355982
"179",1,"NM",2,2010,0.03397341211226
"180",0,"NV",2,2010,0.914223669923996
"181",1,"NV",2,2010,0.0401737242128122
"182",0,"NY",2,2010,0.876883274996195
"183",1,"NY",2,2010,0.0433723938517729
"184",0,"OH",2,2010,0.915189873417722
"185",1,"OH",2,2010,0.0145569620253165
