"","STABBR","degType","year","statetotal","comp_high_any","totalawards","share"
"1","AK","Associate's and below",2010,2804,0,2185,0.779243937232525
"2","AK","Associate's and below",2010,2804,1,143,0.0509985734664765
"3","AK","Associate's and below",2011,3161,0,2328,0.736475798797849
"4","AK","Associate's and below",2011,3161,1,297,0.0939576083517874
"5","AK","Associate's and below",2012,3713,1,263,0.0708322111500135
"6","AK","Associate's and below",2012,3713,0,2726,0.734177215189873
"7","AK","Associate's and below",2013,4060,0,3067,0.755418719211823
"8","AK","Associate's and below",2013,4060,1,274,0.067487684729064
"9","AK","Associate's and below",2014,4337,0,3234,0.745676735070325
"10","AK","Associate's and below",2014,4337,1,276,0.0636384597648144
"11","AK","Bachelor's",2010,1800,0,1473,0.818333333333333
"12","AK","Bachelor's",2010,1800,1,196,0.108888888888889
"13","AK","Bachelor's",2011,1949,1,202,0.103642893791688
"14","AK","Bachelor's",2011,1949,0,1560,0.800410466906106
"15","AK","Bachelor's",2012,1966,1,192,0.0976602238046795
"16","AK","Bachelor's",2012,1966,0,1594,0.810783316378433
"17","AK","Bachelor's",2013,2114,1,196,0.0927152317880795
"18","AK","Bachelor's",2013,2114,0,1652,0.781456953642384
"19","AK","Bachelor's",2014,2290,1,230,0.100436681222707
"20","AK","Bachelor's",2014,2290,0,1843,0.804803493449782
"21","AK","Master's and Higher",2010,728,0,598,0.821428571428571
"22","AK","Master's and Higher",2010,728,1,61,0.0837912087912088
"23","AK","Master's and Higher",2011,739,1,57,0.0771312584573748
"24","AK","Master's and Higher",2011,739,0,612,0.828146143437077
"25","AK","Master's and Higher",2012,753,0,597,0.792828685258964
"26","AK","Master's and Higher",2012,753,1,79,0.104913678618858
"27","AK","Master's and Higher",2013,778,0,611,0.7853470437018
"28","AK","Master's and Higher",2013,778,1,78,0.10025706940874
"29","AK","Master's and Higher",2014,767,0,643,0.838331160365059
"30","AK","Master's and Higher",2014,767,1,57,0.0743155149934811
"31","AL","Associate's and below",2010,36005,1,4073,0.113123177336481
"32","AL","Associate's and below",2010,36005,0,21419,0.594889598666852
"33","AL","Associate's and below",2011,39813,0,23637,0.593700550071585
"34","AL","Associate's and below",2011,39813,1,4134,0.103835430638234
"35","AL","Associate's and below",2012,23444,1,952,0.0406074048797134
"36","AL","Associate's and below",2012,23444,0,16800,0.716601262583177
"37","AL","Associate's and below",2013,22481,0,16204,0.720786441884258
"38","AL","Associate's and below",2013,22481,1,850,0.0378097059739335
"39","AL","Associate's and below",2014,21585,0,15398,0.713365763261524
"40","AL","Associate's and below",2014,21585,1,777,0.0359972202918694
"41","AL","Bachelor's",2010,27318,0,23092,0.845303462918222
"42","AL","Bachelor's",2010,27318,1,2044,0.0748224613807746
"43","AL","Bachelor's",2011,28878,1,2217,0.0767712445460212
"44","AL","Bachelor's",2011,28878,0,24275,0.840605305076529
"45","AL","Bachelor's",2012,30187,1,2402,0.0795706761188591
"46","AL","Bachelor's",2012,30187,0,25418,0.842018087256104
"47","AL","Bachelor's",2013,31765,1,2351,0.0740122776640957
"48","AL","Bachelor's",2013,31765,0,26739,0.841775539115379
"49","AL","Bachelor's",2014,31393,1,2606,0.0830121364635428
"50","AL","Bachelor's",2014,31393,0,26204,0.834708374478387
"51","AL","Master's and Higher",2010,13830,1,960,0.06941431670282
"52","AL","Master's and Higher",2010,13830,0,11961,0.864859002169197
"53","AL","Master's and Higher",2011,14497,1,1108,0.0764296061254053
"54","AL","Master's and Higher",2011,14497,0,12443,0.858315513554529
"55","AL","Master's and Higher",2012,14393,1,1084,0.0753143889390676
