"","CBSA","degType","year","Cbsatotal","stem_high_any","totalawards","share"
"1",-2,"Associate's and below",2010,58044,0,39173,0.67488457032596
"2",-2,"Associate's and below",2010,58044,1,18864,0.324994831507133
"3",-2,"Associate's and below",2011,64405,0,44348,0.688580079186399
"4",-2,"Associate's and below",2011,64405,1,20057,0.311419920813601
"5",-2,"Associate's and below",2012,65483,1,20275,0.309622344730693
"6",-2,"Associate's and below",2012,65483,0,45208,0.690377655269307
"7",-2,"Associate's and below",2013,65355,0,45651,0.698508147808125
"8",-2,"Associate's and below",2013,65355,1,19704,0.301491852191875
"9",-2,"Associate's and below",2014,66446,0,46045,0.692968726484664
"10",-2,"Associate's and below",2014,66446,1,20401,0.307031273515336
"11",-2,"Bachelor's",2010,26691,1,6336,0.237383387658761
"12",-2,"Bachelor's",2010,26691,0,20355,0.762616612341239
"13",-2,"Bachelor's",2011,28100,0,21386,0.761067615658363
"14",-2,"Bachelor's",2011,28100,1,6714,0.238932384341637
"15",-2,"Bachelor's",2012,27450,0,20302,0.73959927140255
"16",-2,"Bachelor's",2012,27450,1,7148,0.26040072859745
"17",-2,"Bachelor's",2013,27849,0,20517,0.736723042120004
"18",-2,"Bachelor's",2013,27849,1,7332,0.263276957879996
"19",-2,"Bachelor's",2014,29059,1,7973,0.274372827695378
"20",-2,"Bachelor's",2014,29059,0,21086,0.725627172304622
"21",-2,"Master's and Higher",2010,9160,0,6346,0.692794759825328
"22",-2,"Master's and Higher",2010,9160,1,2814,0.307205240174672
"23",-2,"Master's and Higher",2011,10082,0,7166,0.710771672287245
"24",-2,"Master's and Higher",2011,10082,1,2916,0.289228327712755
"25",-2,"Master's and Higher",2012,8838,0,6034,0.682733650147092
"26",-2,"Master's and Higher",2012,8838,1,2804,0.317266349852908
"27",-2,"Master's and Higher",2013,9142,1,3032,0.331656092758696
"28",-2,"Master's and Higher",2013,9142,0,6110,0.668343907241304
"29",-2,"Master's and Higher",2014,9437,1,3307,0.350429161809897
"30",-2,"Master's and Higher",2014,9437,0,6130,0.649570838190103
"31",10100,"Associate's and below",2010,62,0,43,0.693548387096774
"32",10100,"Associate's and below",2010,62,1,19,0.306451612903226
"33",10100,"Associate's and below",2011,74,0,43,0.581081081081081
"34",10100,"Associate's and below",2011,74,1,31,0.418918918918919
"35",10100,"Associate's and below",2012,49,1,24,0.489795918367347
"36",10100,"Associate's and below",2012,49,0,25,0.510204081632653
"37",10100,"Associate's and below",2013,59,1,21,0.355932203389831
"38",10100,"Associate's and below",2013,59,0,38,0.644067796610169
"39",10100,"Associate's and below",2014,59,1,19,0.322033898305085
"40",10100,"Associate's and below",2014,59,0,40,0.677966101694915
"41",10100,"Bachelor's",2010,390,0,289,0.741025641025641
"42",10100,"Bachelor's",2010,390,1,101,0.258974358974359
"43",10100,"Bachelor's",2011,442,1,123,0.278280542986425
"44",10100,"Bachelor's",2011,442,0,319,0.721719457013575
"45",10100,"Bachelor's",2012,462,0,318,0.688311688311688
"46",10100,"Bachelor's",2012,462,1,144,0.311688311688312
"47",10100,"Bachelor's",2013,439,0,309,0.703872437357631
"48",10100,"Bachelor's",2013,439,1,130,0.296127562642369
"49",10100,"Bachelor's",2014,517,1,198,0.382978723404255
"50",10100,"Bachelor's",2014,517,0,319,0.617021276595745
"51",10100,"Master's and Higher",2010,66,0,28,0.424242424242424
"52",10100,"Master's and Higher",2010,66,1,38,0.575757575757576
"53",10100,"Master's and Higher",2011,43,0,18,0.418604651162791
"54",10100,"Master's and Higher",2011,43,1,25,0.581395348837209
"55",10100,"Master's and Higher",2012,71,0,32,0.450704225352113
"56",10100,"Master's and Higher",2012,71,1,39,0.549295774647887
"57",10100,"Master's and Higher",2013,34,1,15,0.441176470588235
"58",10100,"Master's and Higher",2013,34,0,19,0.558823529411765
"59",10100,"Master's and Higher",2014,61,1,30,0.491803278688525
"60",10100,"Master's and Higher",2014,61,0,31,0.508196721311475
"61",10140,"Associate's and below",2010,580,0,522,0.9
"62",10140,"Associate's and below",2010,580,1,58,0.1
"63",10140,"Associate's and below",2011,1056,1,74,0.0700757575757576
"64",10140,"Associate's and below",2011,1056,0,982,0.929924242424242
"65",10140,"Associate's and below",2012,926,0,851,0.919006479481641
"66",10140,"Associate's and below",2012,926,1,75,0.0809935205183585
"67",10140,"Associate's and below",2013,959,1,100,0.104275286757039
"68",10140,"Associate's and below",2013,959,0,859,0.895724713242961
"69",10140,"Associate's and below",2014,849,1,98,0.115429917550059
"70",10140,"Associate's and below",2014,849,0,751,0.884570082449941
"71",10180,"Associate's and below",2010,217,1,11,0.0506912442396313
"72",10180,"Associate's and below",2010,217,0,206,0.949308755760369
"73",10180,"Associate's and below",2011,199,1,10,0.050251256281407
"74",10180,"Associate's and below",2011,199,0,189,0.949748743718593
"75",10180,"Associate's and below",2012,155,1,16,0.103225806451613
"76",10180,"Associate's and below",2012,155,0,139,0.896774193548387
"77",10180,"Associate's and below",2013,61,1,13,0.213114754098361
"78",10180,"Associate's and below",2013,61,0,48,0.786885245901639
"79",10180,"Associate's and below",2014,57,1,6,0.105263157894737
"80",10180,"Associate's and below",2014,57,0,51,0.894736842105263
"81",10180,"Bachelor's",2010,1495,0,1184,0.791973244147157
"82",10180,"Bachelor's",2010,1495,1,311,0.208026755852843
"83",10180,"Bachelor's",2011,1441,1,371,0.257460097154754
"84",10180,"Bachelor's",2011,1441,0,1070,0.742539902845246
"85",10180,"Bachelor's",2012,1599,0,1219,0.762351469668543
"86",10180,"Bachelor's",2012,1599,1,380,0.237648530331457
"87",10180,"Bachelor's",2013,1377,1,337,0.244734931009441
"88",10180,"Bachelor's",2013,1377,0,1040,0.755265068990559
"89",10180,"Bachelor's",2014,1481,1,367,0.24780553679946
"90",10180,"Bachelor's",2014,1481,0,1114,0.75219446320054
"91",10180,"Master's and Higher",2010,461,0,403,0.874186550976139
"92",10180,"Master's and Higher",2010,461,1,58,0.125813449023861
"93",10180,"Master's and Higher",2011,530,0,465,0.877358490566038
"94",10180,"Master's and Higher",2011,530,1,65,0.122641509433962
"95",10180,"Master's and Higher",2012,451,0,394,0.873614190687361
"96",10180,"Master's and Higher",2012,451,1,57,0.126385809312639
"97",10180,"Master's and Higher",2013,461,1,48,0.10412147505423
"98",10180,"Master's and Higher",2013,461,0,413,0.89587852494577
"99",10180,"Master's and Higher",2014,416,0,371,0.891826923076923
"100",10180,"Master's and Higher",2014,416,1,45,0.108173076923077
"101",10220,"Associate's and below",2010,124,0,102,0.82258064516129
"102",10220,"Associate's and below",2010,124,1,22,0.17741935483871
"103",10220,"Associate's and below",2011,67,1,8,0.119402985074627
"104",10220,"Associate's and below",2011,67,0,59,0.880597014925373
"105",10220,"Associate's and below",2012,95,1,53,0.557894736842105
"106",10220,"Associate's and below",2012,95,0,42,0.442105263157895
"107",10220,"Associate's and below",2013,66,0,40,0.606060606060606
"108",10220,"Associate's and below",2013,66,1,26,0.393939393939394
"109",10220,"Associate's and below",2014,96,1,49,0.510416666666667
"110",10220,"Associate's and below",2014,96,0,47,0.489583333333333
"111",10220,"Bachelor's",2010,644,0,513,0.796583850931677
"112",10220,"Bachelor's",2010,644,1,131,0.203416149068323
"113",10220,"Bachelor's",2011,679,0,521,0.767304860088365
"114",10220,"Bachelor's",2011,679,1,158,0.232695139911635
"115",10220,"Bachelor's",2012,668,1,170,0.254491017964072
"116",10220,"Bachelor's",2012,668,0,498,0.745508982035928
"117",10220,"Bachelor's",2013,711,1,195,0.274261603375527
"118",10220,"Bachelor's",2013,711,0,516,0.725738396624473
"119",10220,"Bachelor's",2014,686,1,175,0.255102040816327
"120",10220,"Bachelor's",2014,686,0,511,0.744897959183674
"121",10220,"Master's and Higher",2010,311,0,311,1
"122",10220,"Master's and Higher",2011,320,0,320,1
"123",10220,"Master's and Higher",2012,271,0,271,1
