,STEM,STABBR,AWLEVEL,year,share
1,0,AK,1,2010,0.854452055
2,1,AK,1,2010,0.145547945
3,0,AL,1,2010,0.706211363
4,1,AL,1,2010,0.293788637
5,0,AR,1,2010,0.724379812
6,1,AR,1,2010,0.275620188
7,0,AZ,1,2010,0.767272489
8,1,AZ,1,2010,0.232727511
9,0,CA,1,2010,0.866747201
10,1,CA,1,2010,0.133252799
11,0,CO,1,2010,0.708433194
12,1,CO,1,2010,0.291566806
13,0,CT,1,2010,0.832043843
14,1,CT,1,2010,0.167956157
15,0,DC,1,2010,0.839002268
16,1,DC,1,2010,0.160997732
17,0,DE,1,2010,0.937428896
18,1,DE,1,2010,0.062571104
19,0,FL,1,2010,0.755529902
20,1,FL,1,2010,0.244325795
21,0,GA,1,2010,0.80312027
22,1,GA,1,2010,0.19687973
23,0,GU,1,2010,0
24,0,HI,1,2010,0.930612245
25,1,HI,1,2010,0.069387755
26,0,IA,1,2010,0.852140078
27,1,IA,1,2010,0.147859922
28,0,ID,1,2010,0.90237467
29,1,ID,1,2010,0.09762533
30,0,IL,1,2010,0.861083161
31,1,IL,1,2010,0.138916839
32,0,IN,1,2010,0.852285714
33,1,IN,1,2010,0.147714286
34,0,KS,1,2010,0.919463087
35,1,KS,1,2010,0.080536913
36,0,KY,1,2010,0.570736494
37,1,KY,1,2010,0.429263506
38,0,LA,1,2010,0.846009885
39,1,LA,1,2010,0.153990115
40,0,MA,1,2010,0.752824309
41,1,MA,1,2010,0.247175691
42,0,MD,1,2010,0.940877598
43,1,MD,1,2010,0.059122402
44,0,ME,1,2010,0.675675676
45,1,ME,1,2010,0.324324324
46,0,MI,1,2010,0.908126765
47,1,MI,1,2010,0.091873235
48,0,MN,1,2010,0.866046624
49,1,MN,1,2010,0.133953376
50,0,MO,1,2010,0.854117647
51,1,MO,1,2010,0.145882353
52,0,MP,1,2010,1
53,1,MP,1,2010,0
54,0,MS,1,2010,0.857142857
55,1,MS,1,2010,0.142857143
56,0,MT,1,2010,0.986394558
57,1,MT,1,2010,0.013605442
58,0,NC,1,2010,0.758873842
59,1,NC,1,2010,0.240912331
60,0,ND,1,2010,0.967625899
61,1,ND,1,2010,0.032374101
62,0,NE,1,2010,0.727782975
63,1,NE,1,2010,0.272217025
64,0,NH,1,2010,0.928270042
65,1,NH,1,2010,0.071729958
66,0,NJ,1,2010,0.873446133
67,1,NJ,1,2010,0.126553867
68,0,NM,1,2010,0.689415611
69,1,NM,1,2010,0.310584389
70,0,NV,1,2010,0.991399272
71,1,NV,1,2010,0.008600728
72,0,NY,1,2010,0.947272727
73,1,NY,1,2010,0.052727273
74,0,OH,1,2010,0.752390563
75,1,OH,1,2010,0.247609437
76,0,OK,1,2010,0.786629526
77,1,OK,1,2010,0.213370474
78,0,OR,1,2010,0.872141372
79,1,OR,1,2010,0.127858628
80,0,PA,1,2010,0.918921162
81,1,PA,1,2010,0.081078838
82,0,PR,1,2010,0.906534326
83,1,PR,1,2010,0.093465674
84,0,RI,1,2010,0.92801252
85,1,RI,1,2010,0.07198748
86,0,SC,1,2010,0.653818701
87,1,SC,1,2010,0.345610278
88,0,SD,1,2010,0.33423913
89,1,SD,1,2010,0.66576087
90,0,TN,1,2010,0.810758082
91,1,TN,1,2010,0.189241918
92,0,TX,1,2010,0.807748909
93,1,TX,1,2010,0.192251091
94,0,UT,1,2010,0.943679342
95,1,UT,1,2010,0.056320658
96,0,VA,1,2010,0.973195607
97,1,VA,1,2010,0.026804393
98,0,VT,1,2010,0.627906977
99,1,VT,1,2010,0.372093023
100,0,WA,1,2010,0.847423685
101,1,WA,1,2010,0.152576315
102,0,WI,1,2010,0.848046755
103,1,WI,1,2010,0.151953245
104,0,WV,1,2010,0.899034241
105,1,WV,1,2010,0.097453907
106,0,WY,1,2010,0.587378641
107,1,WY,1,2010,0.412621359
108,0,AK,2,2010,0.878522838
109,1,AK,2,2010,0.121477162
110,0,AL,2,2010,0.713656388
111,1,AL,2,2010,0.286343612
112,0,AR,2,2010,0.646356897
113,1,AR,2,2010,0.353643103
114,0,AS,2,2010,0.846153846
115,1,AS,2,2010,0.153846154
116,0,AZ,2,2010,0.791551163
117,1,AZ,2,2010,0.208448837
118,0,CA,2,2010,0.788980989
119,1,CA,2,2010,0.211019011
120,0,CO,2,2010,0.731807663
121,1,CO,2,2010,0.268192337
122,0,CT,2,2010,0.741621265
123,1,CT,2,2010,0.258378735
124,0,DC,2,2010,0.240932642
125,1,DC,2,2010,0.759067358
126,0,DE,2,2010,0.770613108
127,1,DE,2,2010,0.229386892
128,0,FL,2,2010,0.719230296
129,1,FL,2,2010,0.280769704
130,0,FM,2,2010,0.787234043
131,1,FM,2,2010,0.212765957
132,0,GA,2,2010,0.878522337
133,1,GA,2,2010,0.121477663
134,0,GU,2,2010,0.518518519
135,1,GU,2,2010,0.481481481
136,0,HI,2,2010,0.732704403
137,1,HI,2,2010,0.267295597
138,0,IA,2,2010,0.5062417
139,1,IA,2,2010,0.4937583
140,0,ID,2,2010,0.709437964
141,1,ID,2,2010,0.290562036
142,0,IL,2,2010,0.756336764
143,1,IL,2,2010,0.243663236
144,0,IN,2,2010,0.675830061
145,1,IN,2,2010,0.324169939
146,0,KS,2,2010,0.678215312
147,1,KS,2,2010,0.321784688
148,0,KY,2,2010,0.575238095
149,1,KY,2,2010,0.424761905
150,0,LA,2,2010,0.652149699
151,1,LA,2,2010,0.347850301
152,0,MA,2,2010,0.851780415
153,1,MA,2,2010,0.148219585
154,0,MD,2,2010,0.755900314
155,1,MD,2,2010,0.244099686
156,0,ME,2,2010,0.88047138
157,1,ME,2,2010,0.11952862
158,0,MH,2,2010,1
159,0,MI,2,2010,0.696247655
160,1,MI,2,2010,0.303752345
161,0,MN,2,2010,0.669963124
162,1,MN,2,2010,0.330036876
163,0,MO,2,2010,0.683881618
164,1,MO,2,2010,0.316118382
165,0,MP,2,2010,0
166,1,MP,2,2010,0
167,0,MS,2,2010,0.660274757
168,1,MS,2,2010,0.339725243
169,0,MT,2,2010,0.736263736
170,1,MT,2,2010,0.263736264
171,0,NC,2,2010,0.773953624
172,1,NC,2,2010,0.226046376
173,0,ND,2,2010,0.438811189
174,1,ND,2,2010,0.561188811
175,0,NE,2,2010,0.641921397
176,1,NE,2,2010,0.358078603
177,0,NH,2,2010,0.868392665
178,1,NH,2,2010,0.131607335
179,0,NJ,2,2010,0.734566863
180,1,NJ,2,2010,0.265433137
181,0,NM,2,2010,0.831610044
182,1,NM,2,2010,0.168389956
183,0,NV,2,2010,0.817589577
184,1,NV,2,2010,0.182410423
185,0,NY,2,2010,0.735403034
186,1,NY,2,2010,0.264596966
187,0,OH,2,2010,0.548241913
188,1,OH,2,2010,0.451758087
189,0,OK,2,2010,0.686348123
190,1,OK,2,2010,0.312286689
191,0,OR,2,2010,0.81152815
192,1,OR,2,2010,0.18847185
193,0,PA,2,2010,0.751138689
194,1,PA,2,2010,0.248861311
195,0,PR,2,2010,0.700255754
196,1,PR,2,2010,0.299744246
197,0,RI,2,2010,0.835164835
198,1,RI,2,2010,0.164835165
199,0,SC,2,2010,0.714957265
200,1,SC,2,2010,0.285042735
201,0,SD,2,2010,0.548442907
202,1,SD,2,2010,0.451557093
203,0,TN,2,2010,0.671058508
204,1,TN,2,2010,0.328941492
205,0,TX,2,2010,0.716695737
206,1,TX,2,2010,0.283304263
207,0,UT,2,2010,0.724080268
208,1,UT,2,2010,0.275919732
209,0,VA,2,2010,0.728316486
210,1,VA,2,2010,0.271683514
211,0,VT,2,2010,0.560301508
212,1,VT,2,2010,0.439698492
213,0,WA,2,2010,0.688526854
214,1,WA,2,2010,0.311473146
215,0,WI,2,2010,0.663078406
216,1,WI,2,2010,0.336921594
217,0,WV,2,2010,0.632761679
218,1,WV,2,2010,0.367238321
219,0,WY,2,2010,0.514920194
220,1,WY,2,2010,0.485079806
221,0,AK,3,2010,0.690295359
222,1,AK,3,2010,0.309704641
223,0,AL,3,2010,0.683323815
224,1,AL,3,2010,0.294153341
225,0,AR,3,2010,0.771817676
226,1,AR,3,2010,0.228182324
227,0,AS,3,2010,0.916666667
228,1,AS,3,2010,0.083333333
229,0,AZ,3,2010,0.820801082
230,1,AZ,3,2010,0.178601986
231,0,CA,3,2010,0.816352115
232,1,CA,3,2010,0.183647885
233,0,CO,3,2010,0.79762232
234,1,CO,3,2010,0.20237768
235,0,CT,3,2010,0.789426037
236,1,CT,3,2010,0.210573963
237,0,DC,3,2010,0.523489933
238,1,DC,3,2010,0.476510067
239,0,DE,3,2010,0.630472855
240,1,DE,3,2010,0.369527145
241,0,FL,3,2010,0.845161453
242,1,FL,3,2010,0.154838547
243,0,FM,3,2010,0.788288288
244,1,FM,3,2010,0.211711712
245,0,GA,3,2010,0.743578275
246,1,GA,3,2010,0.256421725
247,0,GU,3,2010,0.864864865
248,1,GU,3,2010,0.135135135
249,0,HI,3,2010,0.799343087
250,1,HI,3,2010,0.200656913
251,0,IA,3,2010,0.776683709
252,1,IA,3,2010,0.223316291
253,0,ID,3,2010,0.686338798
254,1,ID,3,2010,0.313661202
255,0,IL,3,2010,0.811990596
