"","STABBR","AWLEVEL","CIPCODE","totalawards","statetotals","comp_high_any","stem_high_any"
"1","AK",1,11.0801,1,584,1,1
"2","AK",1,11.1002,19,584,1,1
"3","AK",1,11.1004,1,584,1,1
"4","AK",1,11.1099,0,584,NA,1
"5","AK",1,15.1302,3,584,0,1
"6","AK",1,16.1001,1,584,0,0
"7","AK",1,19.0709,1,584,0,0
"8","AK",1,31.0599,4,584,NA,0
"9","AK",1,43.0107,31,584,0,0
"10","AK",1,43.0199,1,584,0,0
"11","AK",1,44,9,584,0,0
"12","AK",1,46.0201,13,584,0,0
"13","AK",1,46.0302,0,584,0,0
"14","AK",1,46.0403,0,584,0,1
"15","AK",1,46.0502,2,584,0,1
"16","AK",1,46.0503,3,584,0,0
"17","AK",1,46.9999,0,584,NA,0
"18","AK",1,47.0604,0,584,NA,0
"19","AK",1,47.0605,48,584,0,1
"20","AK",1,48.0508,31,584,0,0
"21","AK",1,49.0104,12,584,0,0
"22","AK",1,49.0205,4,584,0,0
"23","AK",1,49.0309,10,584,0,0
"24","AK",1,50.0201,1,584,0,0
"25","AK",1,50.0701,0,584,0,0
"26","AK",1,51.071,4,584,0,0
"27","AK",1,51.0713,55,584,0,0
"28","AK",1,51.0714,5,584,0,0
"29","AK",1,51.0802,4,584,0,1
"30","AK",1,51.0805,8,584,0,0
"31","AK",1,51.0911,7,584,0,1
"32","AK",1,51.1009,45,584,0,0
"33","AK",1,51.3902,129,584,0,0
"34","AK",1,52.0201,88,584,0,0
"35","AK",1,52.0204,3,584,0,0
"36","AK",1,52.0206,0,584,0,0
"37","AK",1,52.0302,12,584,0,0
"38","AK",1,52.0401,5,584,0,0
"39","AK",1,52.0408,17,584,NA,0
"40","AK",1,52.0499,7,584,NA,0
"41","AK",1,52.0903,0,584,0,0
"42","AK",1,99,584,584,NA,NA
"43","AK",17,3.0299,1,45,0,1
"44","AK",17,3.0301,2,45,0,1
"45","AK",17,3.0601,0,45,0,1
"46","AK",17,5.0202,2,45,NA,0
"47","AK",17,14.0101,3,45,1,1
"48","AK",17,26.0101,10,45,0,1
"49","AK",17,26.0204,4,45,NA,1
"50","AK",17,26.1302,0,45,0,1
"51","AK",17,27.0101,2,45,0,1
"52","AK",17,30.9999,7,45,NA,0
"53","AK",17,40.0202,1,45,1,1
"54","AK",17,40.0401,2,45,0,1
"55","AK",17,40.0599,0,45,NA,1
"56","AK",17,40.0601,3,45,0,1
"57","AK",17,40.0603,3,45,0,1
"58","AK",17,40.0607,1,45,0,1
"59","AK",17,40.0801,1,45,1,1
"60","AK",17,45.0201,3,45,0,0
"61","AK",17,99,45,45,NA,NA
"62","AK",2,3.0299,1,1029,0,1
"63","AK",2,3.0301,1,1029,0,1
"64","AK",2,9.0402,0,1029,0,0
"65","AK",2,11.0401,10,1029,1,1
"66","AK",2,11.0901,4,1029,1,1
"67","AK",2,11.1003,12,1029,1,1
"68","AK",2,11.1099,0,1029,NA,1
"69","AK",2,12.0503,1,1029,0,0
"70","AK",2,12.0504,24,1029,0,0
"71","AK",2,13.0501,0,1029,1,1
"72","AK",2,13.1001,0,1029,NA,0
"73","AK",2,13.1202,0,1029,0,0
"74","AK",2,13.1209,0,1029,0,0
"75","AK",2,13.121,4,1029,0,0
"76","AK",2,13.1311,0,1029,0,0
"77","AK",2,13.1315,0,1029,0,0
"78","AK",2,13.1501,0,1029,0,0
"79","AK",2,14.0802,3,1029,0,1
"80","AK",2,14.1901,0,1029,1,1
"81","AK",2,15.0101,0,1029,1,1
"82","AK",2,15.0404,3,1029,1,1
"83","AK",2,15.0599,0,1029,1,1
"84","AK",2,15.0699,0,1029,0,1
"85","AK",2,15.0703,1,1029,0,1
"86","AK",2,15.0805,0,1029,0,1
"87","AK",2,15.0903,2,1029,1,1
"88","AK",2,15.1301,11,1029,0,1
"89","AK",2,15.1302,18,1029,0,1
"90","AK",2,15.1303,7,1029,0,1
"91","AK",2,15.1304,0,1029,0,1
"92","AK",2,15.1305,1,1029,1,1
"93","AK",2,15.1399,2,1029,NA,1
"94","AK",2,16.1001,3,1029,0,0
"95","AK",2,16.9999,0,1029,0,0
"96","AK",2,19.0709,0,1029,0,0
"97","AK",2,22.0301,0,1029,0,0
"98","AK",2,22.0302,7,1029,NA,0
"99","AK",2,31.9999,0,1029,NA,0
"100","AK",2,38.0101,0,1029,0,0
"101","AK",2,39.0201,13,1029,0,0
"102","AK",2,43.0107,0,1029,0,0
"103","AK",2,43.0203,0,1029,0,1
"104","AK",2,44.0201,1,1029,0,0
"105","AK",2,46.0201,27,1029,0,0
"106","AK",2,46.0301,0,1029,0,1
"107","AK",2,46.0302,0,1029,0,0
"108","AK",2,46.0401,6,1029,0,0
"109","AK",2,46.0403,0,1029,0,1
"110","AK",2,47.0104,0,1029,1,1
"111","AK",2,47.0105,23,1029,0,0
"112","AK",2,47.0199,0,1029,NA,0
"113","AK",2,47.0201,17,1029,0,1
"114","AK",2,47.0302,2,1029,0,0
"115","AK",2,47.0604,19,1029,NA,0
"116","AK",2,47.0605,1,1029,0,1
"117","AK",2,47.0607,15,1029,0,0
"118","AK",2,47.0608,1,1029,0,0
"119","AK",2,47.0616,0,1029,0,1
"120","AK",2,47.0699,0,1029,NA,0
"121","AK",2,48.0508,6,1029,0,0
"122","AK",2,50.0401,3,1029,0,0
"123","AK",2,51,0,1029,NA,0
"124","AK",2,51.0601,11,1029,0,0
"125","AK",2,51.0706,7,1029,0,0
"126","AK",2,51.0713,114,1029,0,0
"127","AK",2,51.0716,6,1029,0,0
"128","AK",2,51.0799,7,1029,NA,0
"129","AK",2,51.0801,414,1029,0,0
"130","AK",2,51.0802,0,1029,0,1
"131","AK",2,51.0805,0,1029,0,0
"132","AK",2,51.0808,2,1029,0,0
"133","AK",2,51.0911,0,1029,0,1
"134","AK",2,51.1599,37,1029,NA,0
"135","AK",2,51.2201,13,1029,0,0
"136","AK",2,51.2601,0,1029,0,0
"137","AK",2,51.3501,47,1029,0,0
"138","AK",2,51.3801,1,1029,0,1
"139","AK",2,51.3901,28,1029,0,1
"140","AK",2,52.0201,9,1029,0,0
"141","AK",2,52.0203,1,1029,0,0
"142","AK",2,52.0204,2,1029,0,0
"143","AK",2,52.0301,23,1029,0,0
"144","AK",2,52.0302,16,1029,0,0
"145","AK",2,52.0401,24,1029,0,0
"146","AK",2,52.0407,15,1029,0,0
"147","AK",2,52.0408,0,1029,NA,0
"148","AK",2,52.0501,0,1029,NA,0
"149","AK",2,52.0701,1,1029,0,0
"150","AK",2,52.1201,2,1029,NA,1
"151","AK",2,52.1906,0,1029,NA,0
"152","AK",2,99,1029,1029,NA,NA
"153","AK",3,3.0201,0,1185,0,1
"154","AK",3,3.0301,2,1185,0,1
"155","AK",3,5.0202,0,1185,NA,0
"156","AK",3,9.0402,0,1185,0,0
"157","AK",3,11.0101,0,1185,1,1
"158","AK",3,11.0202,3,1185,1,1
"159","AK",3,11.0901,9,1185,1,1
"160","AK",3,11.1002,20,1185,1,1
"161","AK",3,11.1003,0,1185,1,1
"162","AK",3,12.0503,32,1185,0,0
"163","AK",3,12.0508,0,1185,0,0
"164","AK",3,13.1001,2,1185,NA,0
"165","AK",3,13.1202,2,1185,0,0
"166","AK",3,13.1209,0,1185,0,0
"167","AK",3,13.121,9,1185,0,0
"168","AK",3,13.1309,3,1185,0,0
"169","AK",3,13.1501,0,1185,0,0
"170","AK",3,14.9999,0,1185,1,1
"171","AK",3,15.0101,18,1185,1,1
"172","AK",3,15.0404,8,1185,1,1
"173","AK",3,15.0599,0,1185,1,1
"174","AK",3,15.0612,0,1185,0,1
"175","AK",3,15.0699,74,1185,0,1
"176","AK",3,15.0701,6,1185,0,1
"177","AK",3,15.0903,0,1185,1,1
"178","AK",3,15.1102,2,1185,1,1
"179","AK",3,15.1201,16,1185,1,1
"180","AK",3,15.1202,4,1185,1,1
"181","AK",3,15.1302,11,1185,0,1
"182","AK",3,15.1399,0,1185,NA,1
"183","AK",3,16.0101,0,1185,0,0
"184","AK",3,16.9999,2,1185,0,0
"185","AK",3,19.0709,12,1185,0,0
"186","AK",3,22.0302,12,1185,NA,0
"187","AK",3,24.0101,292,1185,NA,0
"188","AK",3,30.1801,5,1185,0,1
"189","AK",3,30.9999,1,1185,NA,0
"190","AK",3,39.0201,2,1185,0,0
"191","AK",3,41.9999,8,1185,0,0
"192","AK",3,43.0104,2,1185,0,0
"193","AK",3,43.0202,0,1185,0,0
"194","AK",3,43.0203,12,1185,0,1
"195","AK",3,43.0299,18,1185,0,1
"196","AK",3,44,2,1185,0,0
"197","AK",3,44.0201,1,1185,0,0
"198","AK",3,46.0201,1,1185,0,0
"199","AK",3,46.0301,1,1185,0,1
"200","AK",3,47.0104,10,1185,1,1
"201","AK",3,47.0199,0,1185,NA,0
"202","AK",3,47.0201,2,1185,0,1
"203","AK",3,47.0302,0,1185,0,0
"204","AK",3,47.0604,5,1185,NA,0
"205","AK",3,47.0605,0,1185,0,1
"206","AK",3,47.0607,6,1185,0,0
"207","AK",3,47.0608,2,1185,0,0
"208","AK",3,47.0616,0,1185,0,1
"209","AK",3,48.0508,8,1185,0,0
"210","AK",3,49.0102,1,1185,0,1
"211","AK",3,49.0104,7,1185,0,0
"212","AK",3,49.0105,28,1185,0,0
"213","AK",3,50.0499,1,1185,NA,0
"214","AK",3,50.0502,0,1185,0,0
"215","AK",3,51,0,1185,NA,0
"216","AK",3,51.0601,9,1185,0,0
"217","AK",3,51.0602,11,1185,0,1
"218","AK",3,51.0706,11,1185,0,0
"219","AK",3,51.0713,39,1185,0,0
"220","AK",3,51.0801,49,1185,0,0
"221","AK",3,51.0911,18,1185,0,1
"222","AK",3,51.1004,3,1185,0,1
"223","AK",3,51.1502,53,1185,0,0
"224","AK",3,51.1599,16,1185,NA,0
"225","AK",3,51.2201,3,1185,0,0
"226","AK",3,51.3801,89,1185,0,1
"227","AK",3,52.0201,78,1185,0,0
"228","AK",3,52.0203,1,1185,0,0
"229","AK",3,52.0204,1,1185,0,0
"230","AK",3,52.0301,63,1185,0,0
"231","AK",3,52.0302,15,1185,0,0
"232","AK",3,52.0401,0,1185,0,0
"233","AK",3,52.0407,10,1185,0,0
"234","AK",3,52.0408,0,1185,NA,0
"235","AK",3,52.0901,0,1185,0,0
"236","AK",3,52.1201,15,1185,NA,1
"237","AK",3,52.1905,0,1185,NA,0
"238","AK",3,52.1906,0,1185,NA,0
"239","AK",3,52.2001,9,1185,0,1
"240","AK",3,52.9999,30,1185,NA,0
"241","AK",3,99,1185,1185,NA,NA
"242","AK",4,39.0201,6,6,0,0
"243","AK",4,99,6,6,NA,NA
"244","AK",5,3.0103,6,1629,0,1
"245","AK",5,3.0104,2,1629,0,1
"246","AK",5,3.0201,2,1629,0,1
"247","AK",5,3.0301,2,1629,0,1
"248","AK",5,3.0601,4,1629,0,1
"249","AK",5,3.9999,8,1629,0,1
"250","AK",5,5.011,1,1629,0,0
"251","AK",5,5.0199,1,1629,0,0
"252","AK",5,5.0202,0,1629,NA,0
"253","AK",5,9.0101,13,1629,0,0
"254","AK",5,9.0401,30,1629,0,0
"255","AK",5,11.0101,13,1629,1,1
"256","AK",5,11.0103,14,1629,1,1
"257","AK",5,11.0701,5,1629,1,1
"258","AK",5,13.0101,0,1629,0,0
"259","AK",5,13.1202,61,1629,0,0
"260","AK",5,13.1205,0,1629,0,0
"261","AK",5,13.1209,2,1629,0,0
"262","AK",5,13.121,6,1629,0,0
"263","AK",5,13.1312,2,1629,0,0
"264","AK",5,13.1314,0,1629,0,0
"265","AK",5,13.9999,1,1629,NA,0
"266","AK",5,14.0101,34,1629,1,1
"267","AK",5,14.0801,54,1629,1,1
"268","AK",5,14.0901,1,1629,1,1
"269","AK",5,14.1001,11,1629,1,1
"270","AK",5,14.1901,25,1629,1,1
"271","AK",5,14.2501,18,1629,1,1
"272","AK",5,14.3901,2,1629,0,1
"273","AK",5,15.0999,3,1629,1,1
"274","AK",5,15.1102,4,1629,1,1
"275","AK",5,16.0101,37,1629,0,0
"276","AK",5,16.0102,2,1629,0,0
"277","AK",5,16.0302,4,1629,NA,0
"278","AK",5,16.9999,0,1629,0,0
"279","AK",5,19.0706,3,1629,0,1
"280","AK",5,19.0709,0,1629,0,0
"281","AK",5,23.0101,44,1629,0,0
"282","AK",5,24.0101,45,1629,NA,0
"283","AK",5,24.0103,0,1629,NA,0
"284","AK",5,26.0101,81,1629,0,1
"285","AK",5,26.1302,14,1629,0,1
"286","AK",5,27.0101,27,1629,0,1
"287","AK",5,27.0301,0,1629,1,1
"288","AK",5,30.0101,23,1629,0,0
"289","AK",5,30.2001,9,1629,0,0
"290","AK",5,30.9999,9,1629,NA,0
"291","AK",5,31.0101,18,1629,0,0
"292","AK",5,31.0505,0,1629,0,1
"293","AK",5,31.0599,10,1629,NA,0
"294","AK",5,38.0101,4,1629,0,0
"295","AK",5,39.0201,6,1629,0,0
"296","AK",5,40.0501,8,1629,NA,1
"297","AK",5,40.0508,0,1629,0,1
"298","AK",5,40.0601,23,1629,0,1
"299","AK",5,40.0801,3,1629,1,1
"300","AK",5,40.0899,1,1629,1,1
"301","AK",5,41.9999,11,1629,0,0
"302","AK",5,42.0101,115,1629,0,0
"303","AK",5,43.0104,0,1629,0,0
"304","AK",5,43.0199,52,1629,0,0
"305","AK",5,44,3,1629,0,0
"306","AK",5,44.0201,9,1629,0,0
"307","AK",5,44.0701,41,1629,0,0
"308","AK",5,45.0101,19,1629,0,0
"309","AK",5,45.0201,27,1629,0,0
"310","AK",5,45.0601,18,1629,0,1
"311","AK",5,45.0701,8,1629,0,0
"312","AK",5,45.1001,25,1629,0,0
"313","AK",5,45.1101,19,1629,0,0
"314","AK",5,49.0104,22,1629,0,0
"315","AK",5,50.0501,0,1629,NA,0
"316","AK",5,50.0502,11,1629,0,0
"317","AK",5,50.0701,40,1629,0,0
"318","AK",5,50.0901,11,1629,0,0
"319","AK",5,50.0903,2,1629,0,0
"320","AK",5,51.0701,4,1629,0,0
"321","AK",5,51.1005,8,1629,NA,1
"322","AK",5,51.1502,19,1629,0,0
"323","AK",5,51.2201,3,1629,0,0
"324","AK",5,51.3801,118,1629,0,1
"325","AK",5,52.0101,0,1629,0,0
"326","AK",5,52.0201,133,1629,0,0
"327","AK",5,52.0203,18,1629,0,0
"328","AK",5,52.0206,6,1629,0,0
"329","AK",5,52.0299,0,1629,NA,0
"330","AK",5,52.0301,86,1629,0,0
"331","AK",5,52.0305,20,1629,0,1
"332","AK",5,52.0801,14,1629,0,1
"333","AK",5,52.0901,5,1629,0,0
"334","AK",5,52.1201,8,1629,NA,1
"335","AK",5,52.1401,15,1629,0,0
"336","AK",5,52.1501,0,1629,0,0
"337","AK",5,52.2001,7,1629,0,1
"338","AK",5,54.0101,36,1629,0,0
"339","AK",5,99,1629,1629,NA,NA
"340","AK",6,13.0401,16,171,0,0
"341","AK",6,13.0403,10,171,0,0
"342","AK",6,13.0411,10,171,NA,0
"343","AK",6,13.0501,8,171,1,1
"344","AK",6,13.1001,28,171,NA,0
"345","AK",6,13.1101,4,171,0,0
"346","AK",6,13.1202,43,171,0,0
"347","AK",6,13.1205,19,171,0,0
"348","AK",6,13.121,8,171,0,0
"349","AK",6,13.1302,0,171,0,0
"350","AK",6,13.1311,1,171,0,0
"351","AK",6,13.1315,5,171,0,0
"352","AK",6,14.0899,2,171,1,1
"353","AK",6,44.0701,1,171,0,0
"354","AK",6,51.3101,9,171,0,0
"355","AK",6,52.0201,5,171,0,0
"356","AK",6,52.0203,2,171,0,0
"357","AK",6,52.0701,0,171,0,0
"358","AK",6,52.0801,0,171,0,1
"359","AK",6,99,171,171,NA,NA
"360","AK",7,3.0104,9,683,0,1
"361","AK",7,3.0301,13,683,0,1
"362","AK",7,3.0601,3,683,0,1
"363","AK",7,3.9999,3,683,0,1
"364","AK",7,5.0199,9,683,0,0
"365","AK",7,9.0101,9,683,0,0
"366","AK",7,10.9999,10,683,NA,0
"367","AK",7,11.0101,2,683,1,1
"368","AK",7,11.0701,1,683,1,1
"369","AK",7,13.0101,138,683,0,0
"370","AK",7,13.0401,35,683,0,0
"371","AK",7,13.0403,3,683,0,0
"372","AK",7,13.1001,19,683,NA,0
"373","AK",7,13.1101,12,683,0,0
