"","STABBR","AWLEVEL","CIPCODE","totalawards","statetotals","Code","Occupation","STEM.Disciplines","STEM","compSci"
"1","AK",1,3.0101,7,549,NA,NA,NA,NA,NA
"2","AK",1,11.0801,1,549,NA,NA,NA,NA,NA
"3","AK",1,11.0901,1,549,NA,NA,NA,NA,NA
"4","AK",1,11.1002,23,549,NA,NA,NA,NA,NA
"5","AK",1,11.1004,1,549,NA,NA,NA,NA,NA
"6","AK",1,11.1099,0,549,NA,NA,NA,NA,NA
"7","AK",1,13.1001,7,549,NA,NA,NA,NA,NA
"8","AK",1,15.0501,2,549,NA,NA,NA,NA,NA
"9","AK",1,15.0506,2,549,NA,NA,NA,NA,NA
"10","AK",1,15.1302,1,549,NA,NA,NA,NA,NA
"11","AK",1,16.1001,2,549,NA,NA,NA,NA,NA
"12","AK",1,19.0501,7,549,NA,NA,NA,NA,NA
"13","AK",1,19.0709,8,549,NA,NA,NA,NA,NA
"14","AK",1,31.0599,2,549,NA,NA,NA,NA,NA
"15","AK",1,39.0201,2,549,NA,NA,NA,NA,NA
"16","AK",1,43.0107,52,549,NA,NA,NA,NA,NA
"17","AK",1,43.0199,0,549,NA,NA,NA,NA,NA
"18","AK",1,44,1,549,NA,NA,NA,NA,NA
"19","AK",1,46.0201,26,549,NA,NA,NA,NA,NA
"20","AK",1,46.0302,9,549,NA,NA,NA,NA,NA
"21","AK",1,46.0403,0,549,NA,NA,NA,NA,NA
"22","AK",1,46.0502,6,549,NA,NA,NA,NA,NA
"23","AK",1,46.0503,8,549,NA,NA,NA,NA,NA
"24","AK",1,46.9999,0,549,NA,NA,NA,NA,NA
"25","AK",1,47.0604,1,549,NA,NA,NA,NA,NA
"26","AK",1,47.0605,10,549,NA,NA,NA,NA,NA
"27","AK",1,48.0508,41,549,NA,NA,NA,NA,NA
"28","AK",1,49.0104,5,549,NA,NA,NA,NA,NA
"29","AK",1,49.0205,5,549,NA,NA,NA,NA,NA
"30","AK",1,49.0309,9,549,NA,NA,NA,NA,NA
"31","AK",1,50.0201,0,549,NA,NA,NA,NA,NA
"32","AK",1,50.0701,1,549,NA,NA,NA,NA,NA
"33","AK",1,51.0707,2,549,NA,NA,NA,NA,NA
"34","AK",1,51.071,1,549,NA,NA,NA,NA,NA
"35","AK",1,51.0713,25,549,NA,NA,NA,NA,NA
"36","AK",1,51.0714,1,549,NA,NA,NA,NA,NA
"37","AK",1,51.0802,1,549,NA,NA,NA,NA,NA
"38","AK",1,51.0805,6,549,NA,NA,NA,NA,NA
"39","AK",1,51.0808,12,549,NA,NA,NA,NA,NA
"40","AK",1,51.0911,1,549,NA,NA,NA,NA,NA
"41","AK",1,51.1009,39,549,NA,NA,NA,NA,NA
"42","AK",1,51.2601,1,549,NA,NA,NA,NA,NA
"43","AK",1,51.3902,93,549,NA,NA,NA,NA,NA
"44","AK",1,52.0201,67,549,NA,NA,NA,NA,NA
"45","AK",1,52.0204,2,549,NA,NA,NA,NA,NA
"46","AK",1,52.0206,0,549,NA,NA,NA,NA,NA
"47","AK",1,52.0302,24,549,NA,NA,NA,NA,NA
"48","AK",1,52.0401,3,549,NA,NA,NA,NA,NA
