"","STABBR","degType","year","statetotal","stem_high_any","totalawards","share"
"1","AK","Associate's and below",2010,2804,0,2227,0.794222539229672
"2","AK","Associate's and below",2010,2804,1,577,0.205777460770328
"3","AK","Associate's and below",2011,3161,0,2376,0.751660866814299
"4","AK","Associate's and below",2011,3161,1,785,0.248339133185701
"5","AK","Associate's and below",2012,3713,1,709,0.190950713708591
"6","AK","Associate's and below",2012,3713,0,3004,0.809049286291409
"7","AK","Associate's and below",2013,4060,0,3229,0.795320197044335
"8","AK","Associate's and below",2013,4060,1,831,0.204679802955665
"9","AK","Associate's and below",2014,4337,1,966,0.22273460917685
"10","AK","Associate's and below",2014,4337,0,3371,0.77726539082315
"11","AK","Bachelor's",2010,1800,1,571,0.317222222222222
"12","AK","Bachelor's",2010,1800,0,1229,0.682777777777778
"13","AK","Bachelor's",2011,1949,1,664,0.340687532067727
"14","AK","Bachelor's",2011,1949,0,1285,0.659312467932273
"15","AK","Bachelor's",2012,1966,1,597,0.303662258392675
"16","AK","Bachelor's",2012,1966,0,1369,0.696337741607325
"17","AK","Bachelor's",2013,2114,1,704,0.333017975402081
"18","AK","Bachelor's",2013,2114,0,1410,0.666982024597919
"19","AK","Bachelor's",2014,2290,1,706,0.308296943231441
"20","AK","Bachelor's",2014,2290,0,1584,0.691703056768559
"21","AK","Master's and Higher",2010,728,0,489,0.671703296703297
"22","AK","Master's and Higher",2010,728,1,239,0.328296703296703
"23","AK","Master's and Higher",2011,739,1,216,0.292286874154263
"24","AK","Master's and Higher",2011,739,0,523,0.707713125845738
"25","AK","Master's and Higher",2012,753,1,234,0.310756972111554
"26","AK","Master's and Higher",2012,753,0,519,0.689243027888446
"27","AK","Master's and Higher",2013,778,1,231,0.296915167095116
"28","AK","Master's and Higher",2013,778,0,547,0.703084832904884
"29","AK","Master's and Higher",2014,767,0,538,0.701434159061278
"30","AK","Master's and Higher",2014,767,1,229,0.298565840938722
"31","AL","Associate's and below",2010,36005,1,10371,0.288043327315651
"32","AL","Associate's and below",2010,36005,0,25003,0.694431328982086
"33","AL","Associate's and below",2011,39813,0,27995,0.703162283676186
"34","AL","Associate's and below",2011,39813,1,11190,0.281063974078819
"35","AL","Associate's and below",2012,23444,1,7394,0.315389865210715
"36","AL","Associate's and below",2012,23444,0,16050,0.684610134789285
"37","AL","Associate's and below",2013,22481,0,14866,0.661269516480584
"38","AL","Associate's and below",2013,22481,1,7615,0.338730483519416
"39","AL","Associate's and below",2014,21585,0,14377,0.666064396571693
"40","AL","Associate's and below",2014,21585,1,7208,0.333935603428307
"41","AL","Bachelor's",2010,27318,1,8389,0.307086902408668
"42","AL","Bachelor's",2010,27318,0,18929,0.692913097591332
"43","AL","Bachelor's",2011,28878,1,9128,0.316088371770898
"44","AL","Bachelor's",2011,28878,0,19750,0.683911628229102
"45","AL","Bachelor's",2012,30187,0,20703,0.685825024016961
"46","AL","Bachelor's",2012,30187,1,9484,0.314174975983039
"47","AL","Bachelor's",2013,31765,1,10258,0.322934046906973
"48","AL","Bachelor's",2013,31765,0,21507,0.677065953093027
"49","AL","Bachelor's",2014,31393,0,20838,0.663778549358137
"50","AL","Bachelor's",2014,31393,1,10555,0.336221450641863
"51","AL","Master's and Higher",2010,13830,1,3384,0.24468546637744
"52","AL","Master's and Higher",2010,13830,0,10446,0.75531453362256
"53","AL","Master's and Higher",2011,14497,1,3787,0.26122646064703
"54","AL","Master's and Higher",2011,14497,0,10710,0.73877353935297
"55","AL","Master's and Higher",2012,14393,0,10431,0.724727297992079
"56","AL","Master's and Higher",2012,14393,1,3962,0.275272702007921
"57","AL","Master's and Higher",2013,14525,1,4247,0.292392426850258
"58","AL","Master's and Higher",2013,14525,0,10278,0.707607573149742
"59","AL","Master's and Higher",2014,14190,1,4385,0.309020436927414
"60","AL","Master's and Higher",2014,14190,0,9805,0.690979563072586
"61","AR","Associate's and below",2010,18919,1,5530,0.292298747291083
"62","AR","Associate's and below",2010,18919,0,13389,0.707701252708917
"63","AR","Associate's and below",2011,22530,1,5687,0.252418996893031
"64","AR","Associate's and below",2011,22530,0,16843,0.747581003106969
"65","AR","Associate's and below",2012,20667,0,15588,0.754245899259689
"66","AR","Associate's and below",2012,20667,1,5079,0.245754100740311
"67","AR","Associate's and below",2013,21125,1,5167,0.244591715976331
"68","AR","Associate's and below",2013,21125,0,15958,0.755408284023669
"69","AR","Associate's and below",2014,22075,1,5261,0.23832389580974
"70","AR","Associate's and below",2014,22075,0,16814,0.76167610419026
"71","AR","Bachelor's",2010,13291,0,9505,0.715145587239485
"72","AR","Bachelor's",2010,13291,1,3786,0.284854412760515
"73","AR","Bachelor's",2011,13896,0,9842,0.708261370178469
"74","AR","Bachelor's",2011,13896,1,4054,0.291738629821531
"75","AR","Bachelor's",2012,14907,0,10539,0.706983296437915
"76","AR","Bachelor's",2012,14907,1,4368,0.293016703562085
"77","AR","Bachelor's",2013,15095,0,10748,0.712023848956608
"78","AR","Bachelor's",2013,15095,1,4347,0.287976151043392
"79","AR","Bachelor's",2014,16270,0,11305,0.694837123540258
"80","AR","Bachelor's",2014,16270,1,4965,0.305162876459742
"81","AR","Master's and Higher",2010,5004,1,1489,0.297561950439648
"82","AR","Master's and Higher",2010,5004,0,3515,0.702438049560352
"83","AR","Master's and Higher",2011,5702,1,1901,0.33339179235356
"84","AR","Master's and Higher",2011,5702,0,3801,0.66660820764644
"85","AR","Master's and Higher",2012,6341,1,2139,0.337328497082479
"86","AR","Master's and Higher",2012,6341,0,4202,0.662671502917521
"87","AR","Master's and Higher",2013,6381,0,4407,0.690644099670898
"88","AR","Master's and Higher",2013,6381,1,1974,0.309355900329102
"89","AR","Master's and Higher",2014,6103,1,1803,0.295428477797804
"90","AR","Master's and Higher",2014,6103,0,4300,0.704571522202196
"91","AS","Associate's and below",2010,289,1,25,0.0865051903114187
"92","AS","Associate's and below",2010,289,0,264,0.913494809688581
"93","AS","Associate's and below",2011,259,1,10,0.0386100386100386
"94","AS","Associate's and below",2011,259,0,249,0.961389961389961
"95","AS","Associate's and below",2012,310,0,297,0.958064516129032
"96","AS","Associate's and below",2012,310,1,13,0.0419354838709677
